song,lyrics,year
Anything You Can Do," Anything you can do, I can do better. I can do anything Better than you. No, you can't. Yes, I can. No, you can't. Yes, I can. No, you can't. Yes, I can, Yes, I can! Anything you can be I can be greater. Sooner or later, I'm greater than you. No, you're not. Yes, I am. No, you're not. Yes, I am. No, you're NOT!. Yes, I am. Yes, I am! I can shoot a partridge With a single cartridge. I can get a sparrow With a bow and arrow. I can live on bread and cheese. And only on that? Yes. So can a rat! Any note you can reach I can go higher. I can sing anything Higher than you. No, you can't. (High) Yes, I can. (Higher) No, you can't. (Higher) Yes, I can. (Higher) No, you can't. (Higher) Yes, I can. (Higher) No, you can't. (Higher) Yes, I can. (Higher) No, you can't. (Higher) Yes, I CAN! (Highest) Anything you can buy I can buy cheaper. I can buy anything Cheaper than you. Fifty cents? Forty cents! Thirty cents? Twenty cents! No, you can't! Yes, I can, Yes, I can! Anything you can say I can say softer. I can say anything Softer than you. No, you can't. (Softly) Yes, I can. (Softer) No, you can't. (Softer) Yes, I can. (Softer) No, you can't. (Softer) Yes, I can. (Softer) YES, I CAN! (Full volume) I can drink my liquor Faster than a flicker. I can drink it quicker And get even sicker! I can open any safe. Without bein' caught? Sure. That's what I thought-- You crook! Any note you can hold I can hold longer. I can hold any note Longer than you. No, you can't. Yes, I can No, you can't. Yes, I can No, you can't. Yes, I can Yes, I-I-I-I-I-I-I-I-I No, you C-A-A-A-A-A-A-A-A-A-A-A-A-N'T-- CA-A-A-A-N! (Cough, cough!) Yes, you ca-a-a-an! Anything you can wear I can wear better. In what you wear I'd look better than you. In my coat? In your vest! In my shoes? In your hat! No, you can't! Yes, I can Yes, I CAN! Anything you say I can say faster. I can say anything Faster than you. No, you can't. (Fast) Yes, I can. (Faster) No, you can't. (Faster) Yes, I can. (Faster) Noyoucan't. (Faster) YesIcan! (Fastest) I can jump a hurdle. I can wear a girdle. I can knit a sweater. I can fill it better! I can do most anything! Can you bake a pie? No. Neither can I. Anything you can sing I can sing sweeter. I can sing anything Sweeter than you. No, you can't. (Sweetly) Yes, I can. (Sweeter) No, you can't. (Sweeter) Yes, I can. (Sweeter) No, you can't. (Sweeter) Yes, I can. (Sweeter) No, you can't, can't, can't (sweeter) Yes, I can, can, can (Sugary) Yes, I can! No, you can't! ",1946
Mano a Mano," What makes u judge quick and talk shit when I haven't even spit and u already on my dick what makes u prejudice and chase us like predators convincing the medias and population to get rid of us what makes u playa-hate and pack hate just cause I got my name writing on the plates of my Benz what makes u flip over my sisters scarf and generalize when the fact is u hide your true colors behind your disguise What makes u analyze every move I make step in the ring of debate and discover who's fake what makes u think u better than me when we got the same college degrees and I got all the right keys Mano a mano He who laugh last laugh longest See action speaks louder than words No mercy Mano a mano He who laugh last laugh longest See action speaks louder than words No mercy Pass that bucket water like one of those joints thirsty for life u ride - dirty dessert - to the point get the path right thinking that I might follow your steps right thinking u got flow stealing a dead mans show by getting the role right what a low life didn't your mamma tell u not to fuck with the dead right digging their graves up fucking their gimmicks and spread lies - like a bitch right making a mill on selling your soul to the shaitan with the American dream cream a la theme scheme fool!!! But no not mine Not how Bachiri succeed in making the money they earned right Bottom up - that's right By never forgetting the roots of mine Give it up y'all!!! Don't really gotta chance with a moro right Throw it up y'all!!! or I minimize everything in your life Mano a mano Tres hermanos Protagonista sin igual Disparando a todo mal Mano a mano Nos llevamos Proclamamos en papel Aprendiendo del ayer Mano a Mano Three brothers Protagonist without equal Sniping all the illness Mano a Mano We conduct us Proclaiming us in paper Always learning from the past Hardcore circumstances We quit we damage and dances going under like Atlantis and burn u logo to ashes while I flash this mic in they asses like Onassis making sure u can't harass this lunatic lyricist emerge from the abyss never seen this pissed by now I've topped u hit list The 4 elements with my middle finga equals my fist an intellectual fuck u u simply can't resist it's ridiculous how we spit u can't predict our future watch your mouth or I'ma shot ya cause we got tongues spitting bullets like guns with appetite like dons our name shines like them far away suns A Metaphysist Don't neglect my intellect The magnificent Has come to represent With rap lyrics so potent If they were stolen and spit out by others For sure they'll be choking Doing them off the dome Or with the paper and a pen so sick That u will think I'm half-human half jinn Toxicating the air more dangerous then plutonium Getting high of my shit thinking that it's opium Doping 'em while I sparkle in the darkness All u think about is trying being the largest While I stand heartless Thinking about being the hardest In this art kid that New York started I get elevated, while u getting departed On the spot Like acupuncture medicine Got lawyers practicing my words saying that they are relevant Ya heard me I said they are relevant ",1946
Sawan Aaya, Humko yeh batao Door kaise tum rehte ho Kaise judaai ka Gham yaara tum sehte ho Hum tanha mar jayenge Yaara teri yaad mein Dekho bheege hai kitna Ashqon ki barsat mein Zakham dikhaun kaise dil ke mere Logon ne kitna sataya hai Mujhe na aur rulana tu Sawan aaya hai Mere dardon ko mitana tu Sawan aaya hai Sabse chhupa ke tujhe seene se lagana hai Pyar me tere hadh se guzar jaana hai Itna pyaar kisi pe pehli baar aaya hai Mohabbat barsa dena tu Sawan aaya hai… Dil yeh dhadakta hai Tere dil ke hi dhadakne se Hum bhi tadapte hai Yaar tere hi thadapne se Ishq mein dooba dooba hun Mujhko na ab hosh hai Yaar zameen ke ishq mein Aasman behosh hai Kaise dikhaun ab junoon ye mera Tere ishq ne pagal banaya hai Dil nahi aur dukhana tu Sawan aaya hai Tere bhi zakham dikhana tu Sawan aaya hai Tumse door rehna Ek saza hai majburi hai Meri zindagi toh Yaar tere bin adhuri hai Log toh kya kya kehte hai Dil seh seh ke rota hai Kaise tumko bataun Mere sath sanam kya hota hai Apne paraye hone lage hain Jab se tumko apna banaya hai Hamesha saath nibhana tu Sawan aaya hai Tere aur mere milne ka Mausam aaya hai ,1947
Line 'Em," Thank you ladies and gentlemen! Hold your applause J'yeah, holla! Its bout to go down, shut em down! Just Blaze, Freeway! Young Chris! Young Guru! The Roc is definately in the building! J'yeah! uh, holla! uh oh! uh oh! uh oh! uh! J'yeah, listen, if the rhymes stop dumpin and beats stop knockin then Free still fuckin with Beans R-U to the G-S, manuver the ve throughout the U.S. with two teks of keys one start up your whip and the other start up your block retarded just like a Carter El Nino come take a sniff or take a few of you like the glass zit Stick shit in your artery ooouuu Hustlin's a part of me Niggas retardin me Come at the team wrong its like a see-saw They down and we up The pound heat clowns up I'm moving and re-up teks, blocks and keep gon' ?? and cocks like a school bus (why?) It make stops and it picks kids up and it wake up the block really early in the mornin Word, niggas want drama? Then line em up! Uh uh uh Line em up! Uh uh uh Line em up! Uh uh Line em up! I, I shut em down! Listen, if the coke stop jumpin and the block stop poppin Then Free still fuckin with Schi! M to the is-ash, come down with the gat take your sti-ash and kidnap your keeps One, puff in my face and the other go in your face Reatrded? This is a stick up if you slow then pick up the pace I came to take everything out your safe and even snatch all your jewelry (oouuu) Robbins a part of me, you just oughta be singin the same song when money low Ain't no parameters, snatch chains even honeys know amateurs get state green's and hit with 24 months From playin the game long, the eight long Make pockets short snatch hair and bones weight They been taking from us for too long it ain't wrong Line em up and I jam em all yo! They want a war with the Roc? OKAY! Cases catch 'em and beat 'em like O.J. I been stretchin my d's since the O'Jays Before I met Beans and Free, before Jay Homie, Pops never was there so I hustled 24 7 like the cops never was there Yeah, fuck a box cause the metal was there Fuck the cops cause the Fed's was paid I been settled for years, I'm ahead of my years Tuck the glock come pedal with K's We can settle it here We run with this beef, we runnin his peeps Like five in the mornin while they under them sheets (wake up) Like five gats drawn, soldiers come out they sleep Tell me what they gon' tell me when the gun out they reach Homie, we ain't gotta cheat Y'all ain't stopping Sig Young Gunner startin p. guard from State Property ",1947
Tea For Two," I'm discontented with homes that I've rented So I have invented my own. Darling, this place is lovely oasis Where life's weary taste is unknown Far from the crowded city Where flowers pretty caress the stream Cozy to hide in, to live side by side in, Don't let it apart in my dream Picture me upon your knee Just tea for two And two for tea Just me for you And you for me alone Nobody near us to see us or hear us No friends or relations On weekend vacations We won't have it known That we own a telephone, dear Day will break and I'll wake And start to bake a sugar cake For you to take for all the boys to see We will raise a family A boy for you And a girl for me Can't you see how happy we would be Picture you upon my knee Just tea for two And two for tea Just me for you And you for me alone Nobody near us to see us or hear us No friends or relations On weekend vacations We won't have it known That we own a telephone, dear Day will break, you'll wake And start to bake a sugar cake For you to take for all the boys to see We will raise a family A boy for you And a girl for me Can't you see how happy we would be ",1947
Red Bird, Well there's the fever That you can't deny Gonna' get together with my friends To see my redbirds fly On the TV Or at the ballpark Or on the radio in my truck Me and Grandpa used to listen to Mike Shannon and Jack Buck Yeah I can feel it coming One thing I know for sure Is I've got Redbird Fever and The Cardinals are the cure Yeah I've got Redbird Fever And I know we're the best It's a fact we're going all the way 'Cause we're better than the rest And I'll wear my Redbird colors To every inning that we play There ain't nothing better than a Good old Cardinal game So here's to my St. Louis out there Keeping up the fight Let me get a big Go Cards From ya Redbird fans tonight Go Cards There's other teams out there And yeah they can play But a Cardinal fan is proud and loud Until our dying day We drink cold beer and eat hot dogs On the bleachers in the sun No I don't need no other team 'Cause the Cards are number one Some people say we're crazy But Redbird fans are true 'Cause in this Cardinal nation We're all winners through and through Yeah I got Redbird Fever And I know we're the best It's a fact we're going all the way 'Cause we're better than the rest And I'll wear my redbird colors To every inning that we play There ain't nothing better than a Good old Cardinal game So here's to my St. Louis out there Keeping up the fight Let me get a big Go Cards From ya' Redbird fans tonight Go Cards Yeah I got Redbird Fever And I know we're the best It's a fact we're going all the way 'Cause we're better than the rest And I'll wear my Redbird colors To every inning that we play There ain't nothing better than a Good old Cardinal game So here's to my St. Louis out there Keeping up the fight Let me get a big Go cards From ya' Redbird fans tonight Go Cards Go Cards I said Go Cards ,1947
Polka Dots And Moonbeams," A country dance was being held in a garden I felt a bump and heard an ""Oh, beg your pardon"" Suddenly I saw polka dots and moonbeams All around a pug-nosed dream The music started and was I the perplexed one I held my breath and said ""May I have the next one?"" In my frightened arms, polka dots and moonbeams Sparkled on a pug-nosed dream There were questions in the eyes of other dancers As we floated over the floor There were questions but my heart knew all the answers And perhaps a few things more Now in a cottage built of lilacs and laughter I know the meaning of the words ""Ever after"" And I'll always see polka dots and moonbeams When I kiss the pug-nosed dream ",1947
Closing Remarks," If you're freezing on your left side And you're boiling on your right side Then I guess you might be warm upon the line There are many ways one can divide a life And I've got mine I was flying home and I Saw the sunset from the sky I saw the dark come spooning down upon the land And I thought about the distance we all cover And it made me sad And as the old year took a bow And joined the setting sun It comes around again Like a refrain And we all sing along And think of things we should've done Till one year when the new year never came Little comfort, little comfort I'm afraid you're not enough I've had some learning both unwelcome and unkind And it seems there's but one story told And then re-worked all throughout time Are you a good one or a cruel one It is just the laws that make us bad What can we do to measure where we stand Well, I judge myself by what I give to someone else So I'll know where I am Don't let that sense of urgency betray you in the dark The rustle of a curtain's not a sign Don't frame this picture now As some kind of closing remark And most of all stay warm upon the line Most of all stay warm upon the line It's best if you stay warm upon the line ",1947
Sixteen Tons," Some people say a man is made outta' mud A poor man's made outta' muscle and blood Muscle and blood and skin and bones A mind that's a-weak and a back that's strong You load sixteen tons, what do you get? Another day older and deeper in debt Saint Peter don't you call me 'cause I can't go I owe my soul to the company store I was born one mornin' when the sun didn't shine I picked up my shovel and I walked to the mine I loaded sixteen tons of number 9 coal And the straw boss said ""Well, a-bless my soul"" You load sixteen tons, what do you get? Another day older and deeper in debt Saint Peter, don't you call me 'cause I can't go I owe my soul to the company store I was born one mornin', it was drizzlin' rain Fightin' and trouble are my middle name I was raised in the canebrake by an ol' mama lion Cain't no-a high-toned woman make me walk the line You load sixteen tons, what do you get? Another day older and deeper in debt Saint Peter, don't you call me 'cause I can't go I owe my soul to the company store If you see me comin', better step aside A lotta men didn't, a lotta men died One fist of iron, the other of steel If the right one don't a-get you, then the left one will You load sixteen tons, what do you get? Another day older and deeper in debt Saint Peter, don't you call me 'cause I can't go I owe my soul to the company store ",1947
Old MacDonald Had a Farm," Old MacDonald had a farm E-I-E-I-Oh my God Thou shalt not take any more shit And I’ll split my sister in her motherfucking lip I’ll grab her by the hair And swing her in the air Twist my, twist my, twist my sister Jimmy crack corn and I don’t give a fuck I’ll take a butcher knife and And ram it in her fucking gut I’ll do a chicken dance over her dead body This is gonna hurt you more than me ",1948
