song,lyrics,year
The Ritual," A new age, A new golden age is upon us The sun shines on obsidian, this blade will plunge into a holy reverie Upon the altar lies the one who's worthy, we'll pluck his heart from his chest cavity (Time to die) Between the peaks that rise, his chalice fills with rivers of sacrifice And when the time is come, his drink will spill onto the steps of the sun Now go and be the heart that saves what we've undone This is worth death Now be the heart that saves what can't be saved Worthless Fire is lit within the gaping wound, we'll light our torches from his rife brazier The hearth in every temple cold, suspended, make known the time of empty days is here Years crawl faster as the hands tick closer to the twelve One more until it's over Years crawl faster as the hands tick closer to the twelve One more until the final five And if the ribs should not bring forth new fire Will our God fall from the sky? Be strong, tonight there is no room for failure The light must come and drive the dark away Destroy mankind We'll stand and harken in this solar era The skies will fill with cries of victory Improve design Thirteen Reed Twenty Ahau Transcending into another time ",1951
Pat-A-Pan," Guillo, prends ton tambourin, Toi, prends ta flute, Robin Au son de ces instruments Tu-re-lu-re-lu, pat-a-pat-a-pan Au son de ces instruments Je dirai Noel, gaiement. Willie, bring your little drum. Robin, get your fife, and come, And be merry while you play. Tu-re-lu-re-lu, pat-a-pat-a-pan We will listen as you play For the joy for Christmas day. When the men of olden days Gave the King of Kings their praise They had pipes on which to play. Tu-re-lu-re-lu, pat-a-pat-a-pan They had drums on which to play. For the joy of Christmas day. God and man became today, More in tune than fife and drum, So be merry while you play. Tu-re-lu-re-lu, pat-a-pat-a-pan Come be merry while you play On this joyous Christmas day. While the angels wing To the newborn King, I will sing for the blessed Babe On this joyous Christmas day. God and man became today, More in tune than fife and drum, So be merry while you play. Tu-re-lu-re-lu, pat-a-pat-a-pan Come be merry while you play On this joyous Christmas day. While the angels wing To the newborn King, I will sing for the blessed Babe On this joyous Christmas day. Tu-re-lu-re-lu-ra-le. Come and hear them patapan. Bring your little drum. Robin, get your fife and come. Tu-re-lu-re-lu-ra-le. Come and hear them patapan. Men of olden days Gave the King of Kings their praise. On this joyous Christmas. Bring your little drum. Robin, get your fife and come. Come be merry. Men of olden days Gave the King of Kings their praise. On this joyous Christmas. Bring your little drum. Robin, get your fife and come. Come be merry. Men of olden days Gave the King of Kings their praise. On this joyous Christmas ",1951
Mending Wall, Me and my old man Don't see eye to eye We take our walks outside Underneath the birch trees He said I think it's gonna freeze this year I said I gotta get away from here Me and my old man Me and my old man Should have been enough to know That you'd let us all down Could have been enough to try Without making a sound It's all part of the plan my dear It's all part of the plan my dear So we walked along the mending walls Laid beneath the tortured talls And we sang a song of newfound cheer Laughed at the passing years Yeah we talked about things to come Talked about the battles won He said I think it's gonna freeze this year I said I gotta get away from here Should have been enough to know That you'd let us all down Could have been enough to try Could have been enough to try Oh I've been such a fool Spent my life waiting for you Through these trees I see With my father's eyes I realize the weight Should have been enough to know That you'd let us all down Could have been enough to try Without making a sound It's all part of the plan my dear It's all part of the plan my dear It's all part of the plan my dear Between me and my old man Gotta get away from here Gotta get away from here ,1951
Carol Of The Bells," Hark! how the bells Sweet silver bells All seem to say, ""Throw cares away."" Christmas is here Bringing good cheer To young and old Meek and the bold Ding, dong, ding, dong That is their song With joyful ring All caroling One seems to hear Words of good cheer From ev'rywhere Filling the air Oh how they pound, Raising the sound, O'er hill and dale, Telling their tale, Gaily they ring While people sing Songs of good cheer Christmas is here Merry, merry, merry, merry Christmas Merry, merry, merry, merry Christmas On, on they send On without end Their joyful tone To ev'ry home ",1951
Southern Pacific," Down the mountainside To the coastline Past the angry tide The mighty diesel whines. And the tunnel comes And the tunnel goes Round another bend The giant drivers roll. I rode the Highball I fired the Daylight When I turned sixty-five I couldn't see right. It was Mr. Jones, We've got to let you go It's company policy You've got a pension though. Roll on, Southern Pacific On your silver rails On your silver rails Roll on, Southern Pacific On your silver rails Through the moonlight. I put in my time I put in my time Now I'm left to roll Down the long decline. I ain't no brake man Ain't no conductor But I would be though If I was younger. Roll on, Southern Pacific On your silver rails On your silver rails Roll on, Southern Pacific Roll on, on your silver rails. ",1951
All I Want For Christmas Is My Two Front Teeth," Everybody stops and stares at me These two teeth are gone as you can see I don't know just who to blame for this castastrophe But my one wish on Christmas Eve is as plain as can be All I want for Christmas is my two front teeth My two front teeth See my two front teeth Gee, if I could only have my two front teeth Then I could wish you, ""Merry Christmas"" It seems so long since I could say ""Sister, Susie sitting on a thistle!"" Gosh, oh gee, how happy I'd be, if I could only whistle It seems so long since I could say ""Sister, Susie sitting on a thistle!"" Gosh, oh gee, how happy I'd be, if I could only whistle ",1951
Paul Revere," Now here's a little story I've got to tell About three bad brothers you know so well It started way back in history With Adrock, M.C.A., and me - Mike D. Been had a little horsy named Paul Revere Just me and my horsy and a quart of beer Riding across the land, kicking up sand Sheriff's posse on my tail cause I'm in demand One lonely Beastie I be All by myself without nobody The sun is beating down on my baseball hat The air is gettin' hot the beer is getting flat Lookin' for a girl I ran into a guy His name is M.C.A., I said, ""Howdy"" he said, ""Hi"" He told a little story that sounded well rehearsed Four days on the run and that he's dying of thirst The brew was in my hand and he was on my tip His voice was hoarse, his throat was dry he asked me for a sip He said, ""Can I get some?"" I said, ""You can't get none!"" Had a chance to run He pulled out his shotgun He was quick on the draw I thought I'd be dead He put the gun to my head and this is what he said, ""Now my name is M.C.A. I've got a license to kill I think you know what time it is it's time to get ill Now what do we have here an outlaw and his beer I run this land, you understand I make myself clear."" We stepped into the wind he had a gun, I had a grin You think this story's over but it's ready to begin ""Now I got the gun you got the brew You got two choices of what you can do It's not a tough decision as you can see I can blow you away or you can ride with me"" I said, I'll ride with you if you can get me to the border The sheriff's after me for what I did to his daughter I did it like this, I did it like that I did it with a whiffleball bat So I'm on the run the cop's got my gun And right about now it's time to have some fun The King Adrock that is my name And I know the fly spot where they got the champagne."" We rode for six hours then we hit the spot The beat was a bumping and the girlies was hot This dude was staring like he knows who we are We took the empty spot next to him at the bar M.C.A. said, ""Yo, you know this kid?"" I said, ""I didn't."" but I know he did The kid said, ""Get ready cause this ain't funny My name's Mike D. and I'm about to get money."" Pulled out the jammy aimed it at the sky He yelled, ""Stick 'em up!"" and let two fly Hands went up and people hit the floor He wasted two kids that ran for the door ""I'm Mike D. and I get respect Your cash and your jewelry is what I expect"" M.C.A. was with it and he's my ace So I grabbed the piano player and I punched him in the face The piano player's out the music stopped His boy had beef and he got dropped Mike D. grabbed the money M.C.A. snatched the gold I grabbed two girlies and a beer that's cold. ",1951
Desert Places,,1951
Throw Mountains, Too many times in the past I tried to climb the mountain But the inner voices laughed Too many blocks in the road I tried to find a new way But there's nowhere else to go But now I silence the crowd And nothing can stand in my way Throwing mountains to the sky And the shadows reveal the horizon Driving oceans to the side And my footprints will cross the divide New pressures weighing me down I want to take the first step But I'm tethered to the doubt Too many forces collide This requires something bigger Than confidence and pride I won't hold back anymore Nothing can stand in my way Throwing mountains to the sky And the shadows reveal the horizon Driving oceans to the side And my footprints will cross the divide Too many times in the past I ran toward the ocean And I was frozen in my tracks So many times on the path I felt the power coursing But the lighting didn't last But now the moment is here Nothing can stand in my way Throwing mountains to the sky And the shadows reveal the horizon Driving oceans to the side And my footprints will cross the divide Throwing mountains to the sky And the shadows reveal the horizon Driving oceans to the side And my footprints will cross the divide ,1951
Two Out of One," I've been having a dream And in it, I am just a machine And only she has the potion that can give back emotion To the meaningless thing I'm becoming She's every image that could ever be seen She's in the air, if you know what I mean And I know that it will not be easy Singing a song that has to be sung Only you Can make one out of two After all that we've been through You keep on giving me a reason To see love through your eyes You can make one out of two After all that we've been through You keep on giving me a reason To see love through your eyes I've been planning a scheme Ever since I was 17 To build my home in your nation To enter your station Where the people can feel as one Sometimes I wish that it was only a dream But I am just a machine And only you have the potion that can give back emotion To the meaningless thing I've become So go (Hey Now) Only you Can make one out of two After all that we've been through You keep on giving me a reason To see love through your eyes You can make one out of two After all that we've been through You keep on giving me a reason To see love through your eyes To see love through your eyes To see love through your eyes ",1951
Dil Mila," Kabhi to nazar milao, kabhi to kareeb aao Kabhi to nazar milao, kabhi to kareeb aao Jo nahin kaha hai kabhi to samajh bhi jaao Hum bhi to hai tumhaare deewane ho deewane Hum bhi to hai tumhaare deewane ho deewane Kabhi to nazar milao, kabhi to kareeb aao Kabhi to nazar milao, kabhi to kareeb aao Jo nahin kaha hai kabhi to samajh bhi jaao Hum bhi to hai tumhaare deewane ho deewane Hum bhi to hai tumhaare deewane ho deewane Humne tumko dekhte hi dil diya Tum bhi socho tumne humse kya kiya Humne tumko dekhte hi dil diya Tum bhi socho tumne humse kya kiya Tumne kya kiya, kya kiya Mera dil na todo, kabhi dil se dil milaa lo Hum bhi to hai tumhaare deewane ho deewane Hum bhi to hai tumhaare deewane ho deewane Kabhi to nazar milao, kabhi to kareeb aao Kabhi to nazar milao, kabhi to kareeb aao Jo nahin kaha hai kabhi to samajh bhi jaao Hum bhi to hai tumhaare deewane ho deewane Hum bhi to hai tumhaare deewane ho deewane Dil yeh chaahe teri zulfein choom loon Sochta hoon aur tumse kya kahoon Dil yeh chaahe teri zulfein choom loon Sochta hoon aur tumse kya kahoon Tumse kya kahoon, kya kahoon Koi faislaa do, kabhi to gale lagaao Hum bhi to hai tumhaare deewane ho deewane Hum bhi to hai tumhaare deewane ho deewane Kabhi to nazar milao, kabhi to kareeb aao Kabhi to nazar milao, kabhi to kareeb aao Jo nahin kaha hai kabhi to samajh bhi jaao ",1952
"Little Joe, The Wrangler", Little Joe the Wrangler will wrangle nevermore His days with the roundup they are o'er Was a year ago last April when he rode into our camp Just a little Texas stray and nothing more Was late in the evening when he rode into our camp On the little Texas pony he called Chaw With his brogan shoes and overalls a tougher looking kid You never in your life before had saw His saddle was a Texas kack built many years ago An OK spur on one foot lightly swung With his packroll in a cotton sack so loosely tied behind And a canteen from his saddle horn was slung He said he had to leave his home his pa had married twice His new ma whipped him every day or two So he saddled up old Chaw one night and lit a shuck his way He said he'd try to paddle his own canoe He said if we would give him work he'd do the best he could Though he didn't know straight up about a cow So the boss he cut him out a mount and kindly put him on He sorta liked this little kid somehow He learned to wrangle horses and learned to know them all And get them in at daybreakk if he could And to trail the old chuck wagon and always hitch the team And help to cook each evening rustle wood We had hardly reached the Pecos the weather it was fine We were camped down on the south side in a draw When a northern commenced blowing and we doubled up our guards It took every one of us to hold them in Little Joe the Wrangler was called out with the rest Scarcely had the little fellow reached the herd When the cattle they stampeded like a hailstorm on they fled And everyone was ridin' for the lead Amid the streaks of lightnin' there was one horse up ahead He was tryin' to check the leaders in their speed It was little Joe the Wrangler with a slicker o'er his head He was ridin' Old Blue Rocket in the lead At last we got them millin' and kinda quited down And the extra guards back to the wagon went But there was one a missin' we could see it at a glance Was our little Texas stray poor Wrangler Joe Next morning just at daybreak we found where Rocket fell Down in a washout twenty feet below Beneath his horse his life had gone his spung had run its knell Was our little Texas stray poor Wrangler Joe ,1952
Top Banana," In my time I've been a few places, And I've many a story to tell. Here I am still as strong As I've been all along, I'm not ready for heaven or hell. There are people who do need reminding, That I'm still the boss around here. I still call every shot, And I'll tell you what's what, And what's not, do I make myself clear. I'm not ready to roll over I'm still, the daddy of the all, I'm still the top banana, They still answer when I call. I'm older, yes, but I'm wiser, And they better not forget, I'm not ready to roll over 'Cos there's life in the old dog yet. You can't put an old head on young shoulders My advice is the best I can give Let them make their mistakes; Let them fight for their rights; Let them learn how to love and to live. I've only got the one daughter, Time she married a man of her own, And the one I have planned Has got plenty of land, She'll be grand, and I'll stand all alone. I'm not ready to roll over I'm still, the daddy of the all, I'm still the top banana, They still answer when I call. I'm older, yes, but I'm wiser, And they better not forget, I'm not ready to roll over 'Cos there's life in the old dog yet. I'm not ready to roll over I'm still, the daddy of the all, I'm still the top banana, They still answer when I call. I'm older, yes, but I'm wiser, And they better not forget, I'm not ready to roll over 'Cos there's life in the old dog yet. 'Cos there's life in this old dog yet. ",1952
The Little Devils," Yeah Livin' in a shack in a one-horse town Trying to get to heaven 'fore the sun goin' down Lizard in a bottle, yeah Dizzy in a haze for 40 days Hey there, little devil Come on little devil Be my little angel Come on little devil Be my, yeah, angel, ow Oh, she came on with an alligator smile Dynamite lover, scorpion child Trying to get to heaven 'fore the sun goes down, yeah She came on with a cyclone kiss Hey there baby, you don't never miss Lizard in a bottle, oh yeah Come on little devil Be my little angel Come on little devil Be my little angel, angel Come on little devil Be my little angel Come on little devil Be my, oh be my, angel ",1952
No Two People,,1952
